English,Spanish
"47. The other lasting solution provided by resettlement, in cases where the lives or fundamental well-being of refugees depended on it, should also not be overlooked.
","47. Tampoco conviene descuidar la solución duradera que consiste en el reasentamiento en un tercer país cuando la vida y el bienestar fundamental de los refugiados dependen de ello.
"
"With the proliferation of refugee crises around the world, the need for resettlement places had grown and UNHCR was counting on the generosity of the international community, especially on behalf of detainees being released in the former Yugoslavia.
","Con la proliferación de las crisis en el mundo, se hace sentir cada vez más la necesidad de contar con lugares de reasentamiento y la Oficina del Alto Comisionado confía en la generosidad de la comunidad internacional, especialmente tratándose de los detenidos liberados en la antigua Yugoslavia.
"
"48. After enhancing emergency response and promoting solutions leading to repatriation, prevention was the third cornerstone of UNHCR's strategy.
","48. Con el reforzamiento de la capacidad de respuesta a las situaciones de emergencia y la promoción de soluciones favorables a la repatriación, la prevención constituye el tercer pilar de la estrategia del ACNUR.
"
"Given the close links between serious human rights violations and refugee flows, it had sought to reinforce contacts with human rights bodies within the United Nations system and was actively participating in preparations for the World Conference on Human Rights.
","Teniendo en cuenta los estrechos vínculos que existen entre las graves violaciones de los derechos humanos y los movimientos de refugiados, el ACNUR ha procurado reforzar sus contactos con los órganos de defensa de los derechos humanos en las Naciones Unidas y participa activamente en los preparativos de la Conferencia Mundial de Derechos Humanos.
"
"Together with other organizations and with the help of some Governments, it had stepped up its training and advisory activities as a part of efforts to establish institutions in eastern Europe and in the CIS countries to pre-empt and manage the problems of massive displacements.
","En concierto con otras organizaciones y con la ayuda de algunos gobiernos, el ACNUR ha acelerado sus actividades de formación y de consulta en el marco de las iniciativas encaminadas a instaurar instituciones en Europa oriental y en los países de la CEI a fin de contener y regular los problemas de los desplazamientos masivos.
"
"49. UNHCR had undertaken increasingly effective initiatives to provide protection and assistance to displaced populations within countries of origin, notably in the former Yugoslavia, Sri Lanka and the Horn of Africa.
","49. El ACNUR ha emprendido iniciativas cada vez más eficaces para ofrecer protección y asistencia a las poblaciones desplazadas en los países de origen, ya sea en la antigua Yugoslavia, en Sri Lanka o en el Cuerno de Africa.
"
"Experience in the former Yugoslavia had shown that an international presence was an essential element of prevention.
","La experiencia adquirida en la antigua Yugoslavia demuestra que la presencia internacional es un elemento fundamental de la prevención.
"
"While it was difficult to quantify its effects with any accuracy and while it did not always succeed in preventing forced displacements, it nevertheless enabled the international community to see to it that populations were given humanitarian treatment and it could have restraining effects.
","Aunque sea difícil cuantificar con exactitud sus efectos y que no siempre impida los desplazamientos forzados, por lo menos permite a la comunidad internacional velar por un tratamiento humanitario de las poblaciones y puede tener efectos limitadores.
"
"50. Like solutions, prevention should be applied with imagination and flexibility to each situation encountered.
","50. Al igual que las soluciones, la prevención debe aplicarse con imaginación y flexibilidad a cada una de las situaciones enfrentadas.
"
"Thus, in the context of the Somali crisis, UNHCR's prevention activities had taken the form of supplying food, tools and essential commodities from Kenya, where UNHCR was based, so that people were not compelled to cross borders in search of humanitarian assistance.
","Así, en la crisis somalí las actividades de prevención del ACNUR han adoptado la forma de entrega de víveres, útiles y artículos de primera necesidad desde Kenya, donde el ACNUR tiene su sede, con lo que la gente no ha de cruzar la frontera para recibir la asistencia humanitaria.
"
"UNHCR was coordinating that aid as part of a comprehensive United Nations plan to accelerate relief operations in that war-torn country.
","La Oficina del Alto Comisionado coordina esta ayuda en el marco de un plan global de las Naciones Unidas encaminado a acelerar las operaciones de socorro en este país asolado por la guerra.
"
"51. Such cross-border operations had considerable implications in terms of resources and, in order to be effective, required the full and entire cooperation of the agencies, the acquiescence of the parties concerned and the wholehearted commitment of the international community.
","51. Ese tipo de operaciones transfronterizas tiene repercusiones no despreciables para los recursos, pero, para que sean eficaces, requieren la plena y entera cooperación de las instituciones, el consentimiento de las partes afectadas y el compromiso sin reservas de la comunidad internacional.
"
"Assistance to internally displaced persons, as in Yugoslavia, could be successful only to the extent that their safety could be assured and an early solution found; it was thus entirely dependent on the political will of the parties concerned.
","La asistencia a personas desplazadas dentro del territorio, como es el caso de Yugoslavia, sólo puede tener éxito en la medida en que se garantice la seguridad de las mismas y se encuentre una solución rápida; depende, pues, por completo de la voluntad política de las partes enfrentadas.
"
"Although prevention was a promising strategy, it also had its limits.
","La prevención, estrategia prometedora, tiene también sus límites.
"
"It could not be a substitute for asylum, but was rather a supplement to it.
","No podría sustituir el asilo, al que más bien completa.
"
"52. International protection had always been the basis of UNHCR's three-pronged strategy.
","52. Para la Oficina del Alto Comisionado, la protección internacional es la pieza clave de la triple estrategia del ACNUR.
"
"The focus of protection had always been to meet refugees' needs from the time of flight until the achievement of a durable solution.
","La protección siempre ha tenido por objeto responder a las necesidades de los refugiados desde el momento de la huida hasta que se encuentra una solución duradera.
"
"However, the sheer scale and complexity of contemporary population displacements had placed serious strains on that orthodox approach to refugee protection, had weakened international solidarity and had sometimes seriously jeopardized the principle of asylum.
","Pero la amplitud y la complejidad mismas de los desplazamientos contemporáneos de población han sometido este método ortodoxo de protección de refugiados a tensiones, han debilitado la solidaridad internacional y, a veces, han comprometido gravemente el principio de asilo.
"
"Whatever the part of the world concerned, the question had arisen as to how heavy a burden countries of asylum could legitimately tolerate: as a result, it was vital that international protection should be given a coherent yet flexible framework which safeguarded fundamental principles and premises, while at the same time taking into account current realities and enabling UNHCR to play a creative role, not only in addressing the problems of refugees, but also in solving the refugee problem.
","Sea cual fuere la región del mundo afectada, se ha planteado el problema de la carga que los países de asilo pueden tolerar legítimamente, de donde se desprende la importancia de colocar la protección internacional en un marco lógico y flexible, que salvaguarde los principios fundamentales y las premisas de la protección, tomando asimismo en consideración las realidades actuales y permitiendo que el ACNUR desempeñe un papel creador, no sólo para responder a los problemas de los refugiados sino para resolver la cuestión de los refugiados.
"
"53. It was with that objective in mind that she had set up an internal working group, chaired by the Director of International Protection, to recommend a strategy for strengthening international protection in the 1990s.
","53. Desde ese punto de vista la Oficina del Alto Comisionado ha constituido un Grupo de Trabajo interno encargado de recomendar una estrategia capaz de reforzar la protección internacional en el decenio de 1990, presidido por el Director de Protección Internacional.
"
"The conclusions of that working group had been submitted to the Executive Committee in the Note on International Protection (A/AC.96/799).
","Las conclusiones de este Grupo de Trabajo han sido presentadas al Comité Ejecutivo en la Nota sobre Protección Internacional (A/AC.96/799).
"
"She hoped that the Committee would endorse the new thrust which underlay many of the Office's current activities.
","La oradora confía en que el Comité aprobará la nueva orientación que inspira muchas actividades en curso.
"
"54. The Note did not seek to redefine UNHCR's mandate or to extend its competence to new groups of persons.
","54. La Nota sobre Protección Internacional no intenta definir de nuevo el mandato de la Oficina del Alto Comisionado ni ampliar sus competencias a nuevos grupos de personas.
"
"Rather, it reflected realities and affirmed UNHCR's willingness to play a clearly defined role in the prevention and solution of refugee problems.
","Refleja más bien el pragmatismo del ACNUR y afirma la voluntad de éste de desempeñar un papel claramente definido en la prevención y solución de los problemas de refugiados.
"
"There was also no question of substituting protection in the country of origin for traditional humanitarian action on behalf of refugees and asylum seekers.
","Tampoco se trata de que la protección en los países de origen sustituya las acciones humanitarias tradicionales en favor de los refugiados y de los solicitantes de asilo.
"
"The institution of asylum had to be preserved and efforts continued to establish efficient and fair procedure which would ensure that valid claims to refugee status were recognized.
","Debe mantenerse la institución del asilo y hay que seguir aplicando procedimientos justos y eficaces que garanticen el reconocimiento de la condición de refugiado cuando la solicitud es fundada.
"
"At the same time, UNHCR should show sufficient flexibility to develop concerted and comprehensive regional arrangements which could successfully solve specific problems of displacement in different regions of the world.
","Al mismo tiempo el ACNUR debe hacer prueba de la debida flexibilidad para elaborar, en consulta con los interesados, dispositivos regionales globales capaces de responder a los problemas específicos del desplazamiento en las diversas regiones del mundo.
"
"55. A regional arrangement which combined a commitment to provide protection for those who needed it, clear policies for immigration and development assistance and a coherent information strategy could help to solve the problem of mixed movements of refugees and migrants in Europe.
","55. Un dispositivo regional que combine el compromiso de ofrecer protección a quienes la necesiten, unas políticas claras en materia de inmigración y ayuda al desarrollo y una estrategia coherente de información, puede contribuir a resolver el problema de los movimientos mixtos de refugiados y migrantes en Europa.
"
"She hoped that the rationalization of UNHCR's priorities, structures and resources in Europe would help to strengthen its ability to engage Governments and other actors in a constructive dialogue with a view to adopting a regional approach.
","La oradora confía en que la racionalización de las prioridades, las estructuras y los recursos del ACNUR en Europa ayudará a que la Oficina del Alto Comisionado incite a los gobiernos y otros agentes a entablar un diálogo constructivo cuyo resultado sea un enfoque regional.
"
"56. It was evident that the magnitude of the challenges exceeded the capacity of UNHCR alone.
","56. Es evidente que la amplitud de los desafíos supera las capacidades del solo ACNUR.
"
"Whether prevention, protection or solutions were involved the execution of coherent and comprehensive strategies meant that new impetus had to be given to the existing partnership between UNHCR and Governments, other United Nations agencies and international, regional and non-governmental organizations.
","Tanto si se trata de prevención como de protección o de soluciones, la aplicación de estrategias globales y coherentes supone dar un nuevo impulso a la asociación del ACNUR con los gobiernos, otras instituciones de las Naciones Unidas y las organizaciones internacionales, regionales y no gubernamentales.
"
"Indeed, the Office had rarely enjoyed such close cooperation or received such strong encouragement from Governments.
","En realidad, raras veces el ACNUR se ha podido beneficiar de unos lazos de cooperación tan estrechos o ha recibido un aliento tan vivo de parte de los gobiernos.
"
"She was deeply grateful to them for their support, whether diplomatic, political, financial or human.
","La oradora les agradece profundamente su apoyo diplomático, político, financiero o humano.
"
"There were close operational links between UNHCR and its sister agencies, particularly WFP and UNICEF, as well as with IOM.
","Además, estrechos lazos operativos acercan el ACNUR de sus organizaciones hermanas, especialmente el PMA y el UNICEF, así como la OIM.
"
"The Office's collaboration with the Department of Humanitarian Affairs continued to be fruitful and its relations with ICRC were gaining in depth day by day with its repeated interventions in areas of conflict.
","La colaboración del ACNUR con el Departamento de Asuntos Humanitarios ha sido siempre fructuosa y sus vínculos con el CICR se profundizan cada día más gracias a sus repetidas intervenciones en las zonas de conflicto.
"
"Lastly, she wished to pay tribute to the many non-governmental organizations which had given ample proof of their commitment and which were the spearhead of many aspects of refugee operations, often under the most difficult of conditions.
","Finalmente, la Alta Comisionada desearía rendir homenaje a las numerosas organizaciones no gubernamentales cuya entrega no necesita demostración y que son la vanguardia de muchas operaciones realizadas en pro de los refugiados, con frecuencia en condiciones sumamente difíciles.
"
"57. The many different actors on the scene made the question of coordination even more crucial.
","57. La multitud de los agentes todavía agudiza más la cuestión de la coordinación.
"
"Coordination, however, was not a panacea.
","Pero la coordinación no es una panacea.
"
"It required considerable investment in terms of time and energy and could not in any circumstances be a substitute for the individual or collective capacity of agencies.
","Exige considerables inversiones de tiempo y energía y en ningún caso puede sustituir la capacidad individual o colectiva de las instituciones.
"
"The objective of coordination should be to enhance comparative advantages.
","La coordinación debe tener como objetivo reforzar las ventajas comparativas.
"
"Furthermore, in the case of complex humanitarian actions, coordination could best be ensured on the basis of the principle of assigning one agency the lead role, such as that assumed by UNHCR in refugee or refugee-like situations as in northern Iraq and now in former Yugoslavia.
","Además, en el caso de intervenciones humanitarias complejas la mejor forma de garantizarla es el principio que consiste en confiar a una institución la función motriz, como la que le ha correspondido a la Oficina del Alto Comisionado en situaciones que implican a refugiados o en situaciones análogas (en el norte del Iraq y, actualmente, en la antigua Yugoslavia).
"
"Public opinion was also among UNHCR's concerns in that regard, especially at a time when racism and xenophobia were on the increase in some parts of the world.
","La oradora añade también que en las preocupaciones del ACNUR en esta materia no se hace caso omiso de la opinión pública, sobre todo en un momento en que en determinadas regiones del mundo se observa un ascenso del racismo y la xenofobia.
"
"UNHCR had therefore stepped up its public information campaign in order to build greater support for the humanitarian values and traditions in whose name it had been created.
","Por esto, el ACNUR ha dado un nuevo impulso a su campaña de información a fin de lograr un apoyo más amplio a las tradiciones y los valores humanitarios en cuyo nombre ha sido creado.
"
"She urged all political leaders and opinion-makers to join UNHCR in stemming the tide of intolerance against refugees and asylum seekers.
","La oradora exhorta, pues, a todos los dirigentes políticos y a los guías de la opinión pública a unirse al ACNUR para contener la oleada de intolerancia dirigida contra los refugiados y los solicitantes de asilo.
"
"58. Lastly, she referred to the problem of UNHCR's resources.
","58. Por último, la Alta Comisionada quiere mencionar el problema de los recursos del ACNUR.
"
"Unlike other agencies of the United Nations system, UNHCR could hardly be selective in assuming its responsibilities.
","A diferencia de otras instituciones del sistema de las Naciones Unidas, la Oficina del Alto Comisionado no puede mostrarse selectiva, ante las responsabilidades que le incumben.
"
"It could not avoid them when a new crisis occurred and when the international community urged it to take action.
","No puede eludirlas cuando se produce una nueva crisis y la comunidad internacional le incite a la acción.
"
"What it could and should do was constantly to look for ways of better managing and utilizing its resources.
","Lo que puede y debe hacer es tratar constantemente de administrar y aprovechar mejor sus recursos.
"
"One year of unprecedented need had been followed by yet another.
","A un año de necesidades sin precedentes sigue otro de las mismas características.
"
"Out of US$ 1.1 billion - the estimated total of its needs - UNHCR had received US$ 751.9 million as at 29 September 1992.
","De los 1.100 millones de dólares en que se calculan sus necesidades, al 29 de septiembre el ACNUR sólo había recibido 751,9 millones de dólares.
"
"She was grateful to those who had made those contributions, particularly as the donor base had widened.
","La oradora está agradecida a quienes han aportado estas contribuciones, tanto más cuanto que el número de donantes ha aumentado apreciablemente.
"
"However, she felt bound to appeal to ""traditional"" donors not to reduce their contributions at a time when needs were constantly increasing.
","No obstante, debe hacer un llamamiento a los donantes ""tradicionales"" para que no disminuyan sus contribuciones en un momento en que aumentan las necesidades.
"
"Furthermore, she planned to undertake a number of personal initiatives later in the year to diversify sources of governmental funding.
","Además, se tiene el propósito de emprender hacia finales de año una serie de iniciativas personales encaminadas a diversificar las fuentes de financiación gubernamentales.
"
"Encouraged by the significant increase in private funding, she was continuing her approaches in that area.
","Alentada por el aumento sustancial de la financiación privada, proseguirá su acción en este sector.
"
"59. As operational challenges become more complex, UNHCR needed continuously to reassess both its approach to programmes and its management and monitoring systems.
","59. En un momento en que aumenta la complejidad de las operaciones, el ACNUR debe volver a evaluar sin cesar su enfoque de los programas y sus sistemas de gestión y seguimiento.
"
"Its capacity and the capacity of its operational partners for needs assessment and programme design had to be markedly improved, so that the effectiveness of programmes could be measured against clear objectives.
","Ha mejorado claramente la capacidad suya y de sus asociados de evaluación de las necesidades y de elaboración de programas, de manera que la eficacia de los programas puede medirse por el rasero de unos objetivos muy precisos.
"
"In the course of the coming year, she intended to take steps to enhance UNHCR's programming skills.
","Durante el próximo año la oradora se propone adoptar medidas para fortalecer la competencia del ACNUR en materia de programación.
"
"Efforts to strengthen the Office's financial accountability should be matched by increased effectiveness in programme delivery.
","Los esfuerzos realizados para mejorar la responsabilidad financiera de la Oficina del Alto Comisionado deben ir acompañados de una mayor eficacia en lo que se refiere a la ejecución de los programas.
"
"60. Such measures should also help UNHCR respond better to the needs of the majority of refugees or, in other words, women and children.
","60. Estas medidas deberían ayudar también a la Oficina del Alto Comisionado a responder mejor a las necesidades de la mayoría de los refugiados, es decir las mujeres y los niños.
"
"Training activities now under way were designed to provide staff with the necessary tools to incorporate the guidelines on refugee women into programme design and implementation.
","El objetivo de las actividades de formación en curso es dar al personal los instrumentos necesarios para la integración de los principios rectores relativos a las mujeres refugiadas en la concepción y aplicación de los programas.
"
"Thanks to the generosity of the Norwegian Government, UNHCR would from now on have the benefit of the services of a Coordinator for Refugee Children.
","Gracias a la generosidad del Gobierno noruego, el ACNUR cuenta ahora con los servicios de una coordinadora para los niños refugiados.
"
"She hoped that the Office would be able to develop educational opportunities for such children with a view to enabling them to overcome the trauma of exile and to face the future bravely once they returned home.
","La oradora espera que la Oficina del Alto Comisionado estará en condición de desarrollar las posibilidades de educación ofrecidas a los niños refugiados, a fin de que puedan superar el traumatismo del exilio y enfrentar decididamente el futuro cuando regresen a sus hogares.
"
"61. Better programming should also go hand in hand with a more ecological approach.
","61. A una mejor programación debería corresponder un enfoque más ecológico.
"
"UNHCR had explained its policy on the subject in a conference room paper and hoped that the necessary funding would be made available to enable it to appoint a coordinator on environmental issues.
","El ACNUR ha expuesto su política al respecto en un documento de sesión y espera contar con los recursos necesarios para nombrar un coordinador de las cuestiones del medio ambiente.
"
"62. Management of funds and programmes was indissolubly linked to the question of human resources.
","62. No se puede separar la gestión de los fondos y programas de la de los recursos humanos.
"
"The huge number of emergencies that UNHCR had had to deal with over the past two years had placed a heavy burden on the shoulders of its staff, who had proved equal to the challenge.
","Las múltiples situaciones de emergencia que ha conocido el ACNUR durante los últimos dos años han sido una carga muy pesada para los hombres de su personal, el cual ha estado a la altura de las esperanzas puestas en él.
"
"However, if the Office was to maintain the same standards of competence and commitment, it would need to manage its human resources more carefully and creatively.
","Sin embargo, si la Oficina del Alto Comisionado quiere mantener el mismo grado de competencia y entrega, debe administrar sus recursos humanos de manera más escrupulosa y creativa.
"
"Its staff, who were being constantly called on to respond to emergencies or to cope with priority tasks, were moving from one operation to another or else were being hurriedly recruited in a way which satisfied neither their own career aspirations nor the needs of sound management.
","El personal, al que se recurre constantemente para hacer frente a situaciones de emergencia o a tal o cual prioridad, pasa de una operación a otra o es contratado a toda prisa, de una manera que no corresponde ni a sus aspiraciones ni a los objetivos de una sana gestión.
"
"As a result, there was need for a coherent policy which took account of UNHCR's current role and responsibilities.
","De ahí la necesidad de una política coherente que tome en consideración la función y las responsabilidades actuales del ACNUR.
"
"She intended personally to undertake a qualitative review of UNHCR's staffing requirements and to devise a human resources strategy which would enable the Office to respond efficiently to the challenges of the post-cold war era.
","La oradora tiene la intención de efectuar personalmente un examen cualitativo de las necesidades de personal del ACNUR y elaborar una estrategia de recursos humanos que permita a la Oficina del Alto Comisionado responder eficazmente a los desafíos de la era posterior a la guerra fría.
"
"In addition, a dynamic and rational policy had been adopted to redress the gender imbalance within UNHCR.
","La oradora añade que se ha emprendido una acción dinámica y racional para restablecer el equilibrio entre ambos sexos en el ACNUR.
"
"63. The six points of prevention, preparedness, protection, solutions, partnership and resources represented in a nutshell the tremendous challenges with which UNHCR was confronted.
","63. Los seis puntos (a saber, la prevención, la preparación, la protección, las soluciones, la asociación y los recursos) constituyen una síntesis de los inmensos desafíos con que debe enfrentarse la Oficina del Alto Comisionado.
"
"In conclusion, she recalled that her predecessor, Mr. Stoltenberg, had told the Committee that he hoped that the issue of population movements would be placed on the international political agenda.
","Para concluir, la oradora recuerda que su predecesor, el Sr. Stoltenberg, había manifestado ante el Comité la esperanza de que la cuestión del desplazamiento de poblaciones figuraría en el programa de política internacional.
"
"Today it was on that agenda and it was through political initiatives that the root causes of displacement could be addressed.
","Esto ya se ha conseguido y gracias a las iniciativas políticas se pueden abordar las causas profundas de los desplazamientos.
"
"It was also through political agreement that durable solutions could be found for refugee problems.
","Gracias también a los acuerdos políticos se pueden dar soluciones duraderas a los problemas de los refugiados.
"
"Humanitarian action could pave the way for political action, but could never be a substitute for it.
","La acción humanitaria puede abrir una esfera de acción a la política, pero no puede sustituirla.
"
"64. As humanitarian action became linked with peacemaking and peace-keeping efforts, UNHCR's task was to see to it that the question of refugees and displacement remained on the political agenda, while at the same time preserving its non-political and humanitarian approach.
","64. Cuando la acción humanitaria se asocia al esfuerzo de establecimiento y mantenimiento de la paz, la tarea del ACNUR es velar por que la cuestión de las personas refugiadas y desplazadas permanezca en el programa político, sin dejar de mantener un criterio apolítico y humanitario.
"
"The task of political bodies was to support humanitarian action, while resisting the temptation to use humanitarian avenues to overcome political obstacles.
","La tarea de los órganos políticos es apoyar la acción humanitaria resistiendo a la tentación de utilizar las vías humanitarias para superar los obstáculos políticos.
"
"Nor should political action jeopardize the speed, efficiency and neutrality of humanitarian aid.
","La acción política tampoco debe comprometer la rapidez, eficacia y neutralidad de la ayuda humanitaria.
"
"Political bodies and humanitarian agencies needed to work hand in hand.
","Los órganos políticos y las instituciones humanitarias deben trabajar de consuno.
"
"UNHCR should remain wary of the dangers, lest they engulf it, and should be prepared to seize opportunities, lest they escape it.
","La Oficina del Alto Comisionado debe permanecer atenta a los peligros, por temor a quedar sumergida, y estar dispuesta a aprovechar las oportunidades que se ofrezcan, por temor a que se le escapen.
"
"Despite the inherent contradictions of the era which was now beginning, it was with an acute sense of responsibility and a feeling of intense satisfaction that UNHCR was continuing its work.
","A pesar de las contradicciones que entraña la era que acaba de inaugurarse, el ACNUR prosigue su acción con un fuerte sentido de responsabilidad y un sentimiento de intensa satisfacción.
"
"It was aware of the vital importance of humanitarian action in the post-cold war period and it also knew that it was serving a noble cause and was proud of the fact that a large number of voluntary returns had been recorded over the past 12 months.
","En efecto, no desconoce la enorme importancia que reviste la acción humanitaria en el período posterior a la guerra fría, pero también sabe que sirve una causa noble y que en los últimos 12 meses se ha registrado un gran número de regresos voluntarios.
"
"UNHCR was operating at the extreme limits of its capacity, but, thanks to the extraordinary support of the international community and of the Executive Committee, it was ready and willing to continue with its humanitarian task.
","La Oficina del Alto Comisionado actúa al límite máximo de sus capacidades pero, gracias al apoyo extraordinario de la comunidad internacional y del Comité Ejecutivo, está decidida y dispuesta a proseguir su obra humanitaria.
"
"66. Mrs. LAFONTANT-MANKARIOUS (United States of America) said that, shortly after the Executive Committee's adoption, at its forty-second session, of the High Commissioner's plan for responding to emergency situations, a spate of emergencies had begun which had strained the reserves of all humanitarian agencies beyond their operational limits.
","66. La Sra. LAFONTANT-MANKARIOUS (Estados Unidos de América) dice que, poco después de que el Comité Ejecutivo en su 42º período de sesiones, adoptara las medidas preconizadas por la Alta Comisionada para hacer frente a las situaciones de emergencia, muchas situaciones de emergencia han infligido a las reservas de todas las instituciones humanitarias unas sangrías que superan sus límites operacionales.
"
"UNHCR's actions in the former Yugoslavia, the Horn of Africa and northern Iraq had subjected it to criticism by the public, which judged it according to the speed and effectiveness of its operations, whereas in fact it was obliged to coordinate its activities with those of a wide range of United Nations agencies, private institutions and donors.
","Sus intervenciones en la antigua Yugoslavia, el Cuerno de Africa y del norte del Iraq han hecho del ACNUR el blanco de la mirada crítica de la opinión pública, que lo juzga según la rapidez y eficacia de sus operaciones, mientras que debe coordinar sus actividades con muchísimos organismos de las Naciones Unidas, instituciones privadas y donantes.
"
"67. While commending UNHCR for its handling of the refugee situation in Myanmar, she urged the Government of that country to accept the presence of UNHCR monitors, so that refugees who had already indicated a willingness to return to their countries would be able to do so.
","67. Rindiendo homenaje a la forma como la Oficina del Alto Comisionado ha sabido hacer frente a la situación de los refugiados de Myanmar, la oradora insta encarecidamente al Gobierno de este país que acepte la presencia de observadores del ACNUR a fin de que los refugiados que ya han declarado su deseo de regresar a su país puedan hacerlo.
"
"At the same time, the Government of Bangladesh should maintain an open door to asylum seekers and work with UNHCR on voluntary repatriation efforts.
","Asimismo, el Gobierno de Bangladesh debería dejar la puerta abierta para las personas que piden asilo y cooperar con el ACNUR en la repatriación de las personas que lo acepten libremente.
"
"The United States, which had contributed generously to UNHCR's programme in Bangladesh, appealed to other donors not to forget the many refugees who did not make newspaper headlines.
","Los Estados Unidos, que han contribuido generosamente al programa del ACNUR en Bangladesh, hacen un llamamiento a los otros donantes para que no olviden a los refugiados que no llenan los titulares de los periódicos.
"
"In Bhutan, over 100,000 persons of Bhutanese origin had fled to India and then to western Nepal to seek refuge.
","En Buthán, más de 100.000 personas de origen buthanés han huido a la India y, a continuación al Nepal occidental, en busca de refugio.
"
"Thanks to its new emergency response mechanism, UNHCR had responded with speed and efficiency and had saved many lives.
","Gracias al nuevo mecanismo de intervención de emergencia, la Oficina del Alto Comisionado ha respondido con rapidez y eficacia, salvando vidas humanas.
"
"68. On the subject of international protection, UNHCR had clearly demonstrated, by its comprehensive response to the humanitarian crisis in the Republics of the former Yugoslavia and in northern Iraq, the need to combine emergency response with protection activities.
","68. En lo que se refiere a la protección internacional, el ACNUR, en su respuesta global a la crisis humanitaria de las repúblicas de la antigua Yugoslavia y el norte del Iraq, ha puesto francamente de manifiesto cuán importante es vincular las intervenciones de urgencia con las actividades de protección.
"
"It was likely that the international community would continue to request the Office to intervene in situations where refugees, internally displaced persons and affected civilian populations were intermingled.
","No puede excluirse que la comunidad internacional siga pidiendo al ACNUR que intervenga en situaciones en las que se mezclan refugiados, personas desplazadas y poblaciones civiles afectadas.
"
"Similarly, the United States welcomed the Note on International Protection (A/AC.96/799), which was an important contribution to the international debate on refugee protection.
","En este orden de ideas, los Estados Unidos se congratulan por la Nota sobre Protección Internacional (A/AC.96/799), que representa una importante contribución del ACNUR al debate internacional sobre la protección de los refugiados.
"
"At the same time, the Executive Committee should recognize that constraints of personnel, of financing and perhaps of mandate might prevent UNHCR from taking on all the additional responsibilities considered in the document.
","Así pues, el Comité Ejecutivo debe admitir también que toda limitación del personal, la financiación y quizás también el mandato podrían impedir que la Oficina del Alto Comisionado asuma todas las responsabilidades suplementarias que se examinan en este documento.
"
"69. The United States welcomed UNHCR's use in 1992 of general programme funds for voluntary repatriation activities, particularly in Angola.
","69. Por otra parte, los Estados Unidos se congratulan por la utilización que el ACNUR ha hecho en 1992 de fondos de los Programas generales con destino a actividades de repatriación voluntaria, especialmente en Angola.
"
"In Afghanistan and Cambodia, it had capitalized on political will to achieve significant success in 1992.
","Gracias a la voluntad política, el ACNUR ha podido obtener en 1992 éxitos considerables en el Afganistán y Camboya.
"
"The United States was proud to have contributed nearly US$ 31 million to those three important repatriation programmes.
","A este respecto, los Estados Unidos se sienten orgullosos de haber contribuido con cerca de 31 millones de dólares a estos tres importantes programas de repatriación.
"
"70. It was imperative that UNHCR's general programme budget proposals should be consistent with the guidelines approved by the Executive Committee.
","70. En lo que se refiere a la programación general de la Oficina del Alto Comisionado, la oradora considera importante que los proyectos de presupuesto del ACNUR en esta materia se ajusten a las directrices aprobadas por el Comité Ejecutivo.
"
"If that were to be achieved, general programmes should be stepped up and priorities reoriented, while UNHCR's programme capacity should be strengthened.
","Para ello habría que reforzar los Programas generales reorientando al mismo tiempo las prioridades, y fortalecer la capacidad de los programas en el ACNUR.
"
"With the emergencies now building up in the Horn of Africa and in southern Africa, an increase in the general programme budget would probably be needed.
","Las crisis que hacen estragos en el Cuerno de Africa y el Africa meridional probablemente obligarán a aumentar el presupuesto de los Programas generales.
"
"71. The protection of women and children was not yet of significant concern to many UNHCR field officers, despite the policies and guidelines laid down by the Executive Committee and its Sub-Committees on the subject.
","71. En cuanto a las mujeres y niños, la representante de los Estados Unidos dice que esta categoría de refugiados todavía no es objeto de especial protección por parte de los numerosos agentes del ACNUR sobre el terreno, a pesar de las orientaciones y directrices formuladas por los subcomités y el Comité Ejecutivo de la Oficina del Alto Comisionado en esta materia.
"
"The number of women who were still victims of rape was the best example of the failure of traditional protection measures.
","El número de mujeres víctimas de violación es el mejor ejemplo del fracaso de los métodos tradicionales de protección.
"
"The time had come to guarantee the physical protection of refugee women by ensuring that there were female field officers present in every emergency situation.
","Ya es hora, pues, de garantizar la protección física de las refugiadas haciendo que en toda situación de crisis figuren mujeres entre los agentes del ACNUR.
"
"Similarly, UNHCR programmes should be more closely linked to the needs of the vast majority of refugees, namely, women and children, and care should be taken to prevent programming mistakes.
","Asimismo, hay que vincular más estrechamente los programas del ACNUR con las necesidades de la inmensa mayoría de los refugiados, a saber las mujeres y los niños, e impedir cualquier error de programación.
"
"If necessary, her Government would be willing to assist in funding that effort by an increase in the general programme budget.
","En caso de necesidad, el Gobierno de los Estados Unidos estaría dispuesto a contribuir a los esfuerzos de financiación con un aumento del presupuesto de los Programas generales.
"
"72. At the June meeting of the Executive Committee, the High Commissioner had proposed that emergency humanitarian operations should be carried out in partnership with other agencies. She herself fully supported the coordination of UNHCR's activities with those of the Under-Secretary-General for Humanitarian Affairs, Mr. Jan Eliasson.
","72. Recordando que en la reunión de junio del Comité Ejecutivo, la Alta Comisionada ha preconizado la ejecución de operaciones humanitarias de emergencia en asociación con otras instituciones, la oradora apoya sin reservas la coordinación de las actividades de la Alta Comisionada con las del Secretario General Adjunto de Asuntos Humanitarios, Sr. Jan Eliasson.
"
